State,County,O3-AQI,CO-AQI,NO2-AQI,SO2-AQI,total
Maine,Hancock,270412.4999999999,10092.0,1144.0,1854.0,283502.4999999999
Ohio,Ashtabula,214658.0,0.0,0.0,68723.0,283381.0
Louisiana,Lafourche,283258.0,0.0,0.0,0.0,283258.0
North Carolina,Montgomery,283219.0,0.0,0.0,0.0,283219.0
Florida,Santa Rosa,282917.0,0.0,0.0,0.0,282917.0
Oklahoma,McClain,282387.0,0.0,0.0,0.0,282387.0
North Dakota,Burke,196505.0,0.0,33494.5,52167.0,282166.5
Louisiana,Pointe Coupee,281425.0,0.0,61.0,0.0,281486.0
Indiana,Knox,280896.0,0.0,0.0,0.0,280896.0
New York,Essex,270548.74999999994,0.0,0.0,9679.0,280227.74999999994
Louisiana,St. John the Baptist,279639.0,0.0,0.0,0.0,279639.0
Tennessee,Claiborne,278751.5,0.0,0.0,0.0,278751.5
Kentucky,Warren,214092.0,0.0,52731.0,10962.0,277785.0
Florida,Bay,277768.0,0.0,0.0,0.0,277768.0
Maryland,Garrett,230894.0,7088.0,6789.0,32991.0,277762.0
Indiana,Wabash,277229.0,0.0,0.0,0.0,277229.0
Tennessee,DeKalb,276612.5,0.0,0.0,0.0,276612.5
Virginia,Richmond City,0.0,35431.5,176535.0,64244.0,276210.5
New York,Niagara,211072.0,19417.0,0.0,45072.0,275561.0
New York,Putnam,245320.0,0.0,0.0,29752.0,275072.0
Ohio,Noble,274850.0,0.0,0.0,0.0,274850.0
New York,Hamilton,264457.0,0.0,0.0,9709.0,274166.0
Nebraska,Douglas,189125.50000000017,48920.5,0.0,35911.8333333337,273957.8333333339
Kentucky,Bell,272281.0,1520.0,0.0,0.0,273801.0
Pennsylvania,Elk,273765.5,0.0,0.0,0.0,273765.5
Oklahoma,Adair,254936.0,6173.0,7929.0,4719.0,273757.0
California,Glenn,273306.0,0.0,0.0,0.0,273306.0
West Virginia,Ohio,205880.0,14175.0,0.0,52606.0,272661.0
Florida,Seminole,272057.0,0.0,0.0,0.0,272057.0
Oklahoma,Ottawa,239591.0,1218.0,25733.0,5447.0,271989.0
North Dakota,McKenzie,237531.0,0.0,17246.0,17153.500000000087,271930.5000000001
Louisiana,Ouachita,255681.0,0.0,0.0,15811.0,271492.0
Tennessee,Anderson,228111.0,0.0,0.0,42794.0,270905.0
Wyoming,Carbon,201968.0,0.0,42034.5,26334.49999999985,270336.9999999998
Illinois,Adams,234278.0,0.0,0.0,35841.0,270119.0
New York,Tompkins,267337.0,0.0,0.0,1493.0,268830.0
Florida,Holmes,268776.0,0.0,0.0,0.0,268776.0
Kentucky,Bullitt,210375.0,0.0,58202.0,0.0,268577.0
Michigan,Ingham,209313.0,0.0,50249.0,8955.0,268517.0
West Virginia,Tucker,267668.5,0.0,0.0,0.0,267668.5
Wyoming,Natrona,190054.0,0.0,60767.0,16471.0,267292.0
Ohio,Montgomery,208938.0,39407.0,0.0,18730.0,267075.0
North Dakota,Dunn,227679.0,0.0,26583.0,12770.0,267032.0
Connecticut,Windham,265920.0,0.0,0.0,0.0,265920.0
Alabama,Madison,262150.5,3375.0,0.0,0.0,265525.5
